source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0048856	anatomical structure development	4.4280826907078615e-18	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5997	5569	1864	21026	0.3347100017956545	0.31082207770551945	query_1	['GO:0032502']
GO:BP	GO:0050896	response to stimulus	6.579922117335697e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	8999	5569	2682	21026	0.4815945412102711	0.2980331147905323	query_1	['GO:0008150']
GO:BP	GO:0032502	developmental process	1.5342027388667834e-17	True	"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]"	6553	5569	2014	21026	0.3616448195367211	0.3073401495498245	query_1	['GO:0008150']
GO:BP	GO:0007275	multicellular organism development	3.310306297439787e-17	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4727	5569	1502	21026	0.2697073083138804	0.31774910090966785	query_1	['GO:0032501', 'GO:0048856']
GO:BP	GO:0009056	catabolic process	1.974641784716523e-16	True	"""A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]"	2639	5569	895	21026	0.16071107918836416	0.33914361500568396	query_1	['GO:0008152']
GO:BP	GO:0019637	organophosphate metabolic process	3.3192974019865736e-16	True	"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]"	1077	5569	417	21026	0.0748787933201652	0.3871866295264624	query_1	['GO:0006793']
GO:BP	GO:0006950	response to stress	4.3526619244315386e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3948	5569	1273	21026	0.22858681989585203	0.3224417426545086	query_1	['GO:0050896']
GO:BP	GO:0050789	regulation of biological process	6.062397101135189e-16	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	12336	5569	3547	21026	0.6369186568504219	0.28753242542153046	query_1	['GO:0008150', 'GO:0065007']
GO:BP	GO:0051716	cellular response to stimulus	9.392487941205491e-16	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	7376	5569	2226	21026	0.39971269527742864	0.3017895878524946	query_1	['GO:0009987', 'GO:0050896']
GO:BP	GO:0080090	regulation of primary metabolic process	2.45584512790003e-15	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5390	5569	1675	21026	0.30077213144191056	0.310760667903525	query_1	['GO:0019222', 'GO:0044238']
GO:BP	GO:0015980	energy derivation by oxidation of organic compounds	8.512029642948611e-15	True	"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]"	345	5569	166	21026	0.029807864966780392	0.4811594202898551	query_1	['GO:0006091']
GO:BP	GO:0006629	lipid metabolic process	8.804223321175678e-15	True	"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]"	1391	5569	510	21026	0.0915783803196265	0.3666427030913012	query_1	['GO:0044238']
GO:BP	GO:0033554	cellular response to stress	1.0923519633172814e-14	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1830	5569	644	21026	0.11564015083497935	0.3519125683060109	query_1	['GO:0006950', 'GO:0051716']
GO:BP	GO:0019538	protein metabolic process	3.485002389887703e-14	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	4721	5569	1479	21026	0.26557730292691684	0.31328108451599235	query_1	['GO:0043170', 'GO:0044238']
GO:BP	GO:0006091	generation of precursor metabolites and energy	6.553642609532517e-14	True	"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]"	478	5569	211	21026	0.03788831028910038	0.44142259414225943	query_1	['GO:0008152']
GO:BP	GO:0009060	aerobic respiration	1.5722842006679866e-13	True	"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]"	199	5569	108	21026	0.019393068773567966	0.542713567839196	query_1	['GO:0045333']
GO:BP	GO:0051649	establishment of localization in cell	1.6486437285055146e-13	True	"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2010	5569	692	21026	0.12425929251212067	0.34427860696517415	query_1	['GO:0051234', 'GO:0051641']
GO:BP	GO:0050794	regulation of cellular process	2.3338098261168436e-13	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	11946	5569	3424	21026	0.6148321063027473	0.28662313745186674	query_1	['GO:0009987', 'GO:0050789']
GO:BP	GO:0035556	intracellular signal transduction	2.447289174760788e-13	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2965	5569	972	21026	0.1745376189621117	0.3278246205733558	query_1	['GO:0007165']
GO:BP	GO:0045333	cellular respiration	3.4391579467257387e-13	True	"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]"	242	5569	124	21026	0.022266115999281737	0.512396694214876	query_1	['GO:0015980']
GO:BP	GO:0090407	organophosphate biosynthetic process	5.965379413960798e-13	True	"""The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."" [GOC:chem_mtg]"	619	5569	256	21026	0.045968755611420366	0.4135702746365105	query_1	['GO:0009058', 'GO:0019637']
GO:BP	GO:0043436	oxoacid metabolic process	8.62079282244146e-13	True	"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]"	909	5569	350	21026	0.06284790806248877	0.385038503850385	query_1	['GO:0006082']
GO:BP	GO:0048731	system development	8.974108327695072e-13	True	"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]"	4053	5569	1280	21026	0.22984377805710182	0.3158154453491241	query_1	['GO:0007275', 'GO:0048856']
GO:BP	GO:0006082	organic acid metabolic process	1.472947365838518e-12	True	"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	915	5569	351	21026	0.06302747351409589	0.3836065573770492	query_1	['GO:0044281']
GO:BP	GO:0019752	carboxylic acid metabolic process	1.5161758200599032e-12	True	"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]"	887	5569	342	21026	0.061411384449631894	0.3855693348365276	query_1	['GO:0043436']
GO:BP	GO:0051641	cellular localization	5.266126962498071e-12	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3661	5569	1163	21026	0.20883462021906984	0.31767276700355096	query_1	['GO:0009987', 'GO:0051179']
GO:BP	GO:0071705	nitrogen compound transport	7.13772341994918e-12	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1923	5569	657	21026	0.11797450170587179	0.3416536661466459	query_1	['GO:0006810']
GO:BP	GO:0007005	mitochondrion organization	8.98883872842909e-12	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrion; includes mitochondrial morphogenesis and distribution, and replication of the mitochondrial genome as well as synthesis of new mitochondrial components."" [GOC:dph, GOC:jl, GOC:mah, GOC:sgd_curators, PMID:9786946]"	435	5569	190	21026	0.03411743580535105	0.4367816091954023	query_1	['GO:0006996']
GO:BP	GO:0032501	multicellular organismal process	1.0863364748101636e-11	True	"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]"	7322	5569	2177	21026	0.39091398814868017	0.29732313575525815	query_1	['GO:0008150']
GO:BP	GO:0046907	intracellular transport	3.477430208454037e-11	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1381	5569	490	21026	0.08798707128748429	0.3548153511947864	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']
GO:BP	GO:1901135	carbohydrate derivative metabolic process	5.5546530366605806e-11	True	"""The chemical reactions and pathways involving carbohydrate derivative."" [GOC:TermGenie]"	983	5569	366	21026	0.06572095528820256	0.3723296032553408	query_1	['GO:0008152']
GO:BP	GO:0033108	mitochondrial respiratory chain complex assembly	7.515269330172251e-11	True	"""The aggregation, arrangement and bonding together of a set of components to form a mitochondrial respiratory chain complex or between respiratory chain complexes to form high-order structures."" [GOC:mah]"	122	5569	72	21026	0.012928712515711977	0.5901639344262295	query_1	['GO:0007005', 'GO:0065003']
GO:BP	GO:0048519	negative regulation of biological process	1.2801120345350915e-10	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5834	5569	1760	21026	0.316035194828515	0.30167980802194033	query_1	['GO:0008150', 'GO:0050789']
GO:BP	GO:0006119	oxidative phosphorylation	2.2674804935214e-10	True	"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]"	146	5569	81	21026	0.014544801580175975	0.5547945205479452	query_1	['GO:0009060']
GO:BP	GO:0051128	regulation of cellular component organization	2.365114459089875e-10	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2433	5569	798	21026	0.1432932303824744	0.3279901356350185	query_1	['GO:0016043', 'GO:0050794']
GO:BP	GO:0010257	NADH dehydrogenase complex assembly	2.536355259681863e-10	True	"""The aggregation, arrangement and bonding together of a set of components to form an NADH dehydrogenase complex."" [GOC:sm]"	63	5569	45	21026	0.008080445322319985	0.7142857142857143	query_1	['GO:0065003']
GO:BP	GO:0032981	mitochondrial respiratory chain complex I assembly	2.536355259681863e-10	True	"""The aggregation, arrangement and bonding together of a set of components to form mitochondrial respiratory chain complex I."" [GOC:rph]"	63	5569	45	21026	0.008080445322319985	0.7142857142857143	query_1	['GO:0010257', 'GO:0033108']
GO:BP	GO:0015986	proton motive force-driven ATP synthesis	2.7136359025353897e-10	True	"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]"	78	5569	52	21026	0.009337403483569762	0.6666666666666666	query_1	['GO:0006754']
GO:BP	GO:0005975	carbohydrate metabolic process	4.665490072263905e-10	True	"""The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."" [GOC:mah, ISBN:0198506732]"	561	5569	227	21026	0.04076135751481415	0.40463458110516937	query_1	['GO:0044238']
GO:BP	GO:0055085	transmembrane transport	6.216946046505811e-10	True	"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]"	1578	5569	543	21026	0.09750404022266115	0.344106463878327	query_1	['GO:0006810', 'GO:0009987']
GO:BP	GO:0042221	response to chemical	7.322417181320393e-10	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]"	3909	5569	1217	21026	0.21853115460585384	0.3113328216935278	query_1	['GO:0050896']
GO:BP	GO:0009893	positive regulation of metabolic process	9.108332475023166e-10	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3597	5569	1128	21026	0.202549829412821	0.31359466221851545	query_1	['GO:0008152', 'GO:0019222', 'GO:0048522']
GO:BP	GO:0012501	programmed cell death	1.1388735037980975e-09	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1987	5569	663	21026	0.11905189441551446	0.33366884750880726	query_1	['GO:0008219']
GO:BP	GO:0055086	nucleobase-containing small molecule metabolic process	1.2092617126895287e-09	True	"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]"	673	5569	262	21026	0.047046148321063026	0.38930163447251115	query_1	['GO:0006139', 'GO:0044281']
GO:BP	GO:0008219	cell death	1.216979530738811e-09	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	1991	5569	664	21026	0.11923145986712157	0.33350075339025614	query_1	['GO:0009987']
GO:BP	GO:0033036	macromolecule localization	1.246675912555192e-09	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	3228	5569	1022	21026	0.18351589154246722	0.31660470879801733	query_1	['GO:0051179']
GO:BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	1.3691905281769107e-09	True	"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]"	67	5569	46	21026	0.008260010773927096	0.6865671641791045	query_1	['GO:0006119', 'GO:0015986']
GO:BP	GO:0006753	nucleoside phosphate metabolic process	1.4301747141570513e-09	True	"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]"	646	5569	253	21026	0.04543005925659903	0.39164086687306504	query_1	['GO:0006796', 'GO:0019637', 'GO:0055086']
GO:BP	GO:0008610	lipid biosynthetic process	2.13485191824382e-09	True	"""The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [GOC:go_curators]"	729	5569	279	21026	0.05009876099838391	0.38271604938271603	query_1	['GO:0006629', 'GO:0009058']
GO:BP	GO:0048523	negative regulation of cellular process	3.0296379302800494e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5629	5569	1691	21026	0.30364517866762436	0.3004085983300764	query_1	['GO:0009987', 'GO:0048519', 'GO:0050794']
GO:BP	GO:0042592	homeostatic process	3.2684050071603057e-09	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1736	5569	586	21026	0.10522535464176692	0.33755760368663595	query_1	['GO:0008150']
GO:BP	GO:0006915	apoptotic process	3.6538620711686473e-09	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1923	5569	641	21026	0.11510145448015802	0.3333333333333333	query_1	['GO:0012501']
GO:BP	GO:0015031	protein transport	4.498245262942097e-09	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1444	5569	498	21026	0.08942359490034117	0.3448753462603878	query_1	['GO:0045184', 'GO:0071705']
GO:BP	GO:0009966	regulation of signal transduction	6.8489707164203164e-09	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	3034	5569	961	21026	0.17256239899443346	0.3167435728411338	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
GO:BP	GO:0036211	protein modification process	7.236863704677047e-09	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	2846	5569	907	21026	0.16286586460764949	0.3186929023190443	query_1	['GO:0019538', 'GO:0043412']
GO:BP	GO:0072521	purine-containing compound metabolic process	9.397337687606025e-09	True	"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]"	563	5569	223	21026	0.040043095708385705	0.3960923623445826	query_1	['GO:0008152']
GO:BP	GO:1901137	carbohydrate derivative biosynthetic process	9.840338905907939e-09	True	"""The chemical reactions and pathways resulting in the formation of carbohydrate derivative."" [GOC:TermGenie]"	594	5569	233	21026	0.041838750224456815	0.39225589225589225	query_1	['GO:0009058', 'GO:1901135']
GO:BP	GO:1901293	nucleoside phosphate biosynthetic process	1.3208306784761548e-08	True	"""The chemical reactions and pathways resulting in the formation of a nucleoside phosphate."" [GOC:TermGenie]"	314	5569	139	21026	0.0249595977733884	0.4426751592356688	query_1	['GO:0006753', 'GO:0034654', 'GO:0090407']
GO:BP	GO:0023051	regulation of signaling	1.33174631142197e-08	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3478	5569	1085	21026	0.1948285149937152	0.31196089706728003	query_1	['GO:0023052', 'GO:0050789']
GO:BP	GO:0007399	nervous system development	1.5544897096615746e-08	True	"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"	2604	5569	835	21026	0.1499371520919375	0.3206605222734255	query_1	['GO:0048731']
GO:BP	GO:0032879	regulation of localization	1.61375415716233e-08	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2029	5569	668	21026	0.11994972167355	0.3292262198127156	query_1	['GO:0050789', 'GO:0051179']
GO:BP	GO:0061024	membrane organization	2.0020631055330173e-08	True	"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."" [GOC:dph, GOC:tb]"	821	5569	304	21026	0.05458789728856168	0.3702801461632156	query_1	['GO:0016043']
GO:BP	GO:0006066	alcohol metabolic process	2.0175001320428938e-08	True	"""The chemical reactions and pathways involving alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom."" [ISBN:0198506732]"	362	5569	155	21026	0.027832644999102173	0.4281767955801105	query_1	['GO:0044281']
GO:BP	GO:1901700	response to oxygen-containing compound	2.3275429971232693e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1669	5569	561	21026	0.10073621835158915	0.3361294188136609	query_1	['GO:0042221']
GO:BP	GO:0070887	cellular response to chemical stimulus	2.7554312992978597e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2192	5569	714	21026	0.1282097324474771	0.32572992700729925	query_1	['GO:0042221', 'GO:0051716']
GO:BP	GO:0065009	regulation of molecular function	2.8816875763963568e-08	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	1496	5569	509	21026	0.09139881486801939	0.34024064171123	query_1	['GO:0065007']
GO:BP	GO:0008283	cell population proliferation	3.137174755626754e-08	True	"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]"	2015	5569	662	21026	0.11887232896390734	0.32853598014888336	query_1	['GO:0009987']
GO:BP	GO:0022900	electron transport chain	3.34327168517188e-08	True	"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]"	126	5569	69	21026	0.012390016160890645	0.5476190476190477	query_1	['GO:0006091']
GO:BP	GO:0098660	inorganic ion transmembrane transport	3.791566174631055e-08	True	"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]"	944	5569	341	21026	0.06123181899802478	0.361228813559322	query_1	['GO:0055085']
GO:BP	GO:0010646	regulation of cell communication	4.3916668627432676e-08	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3486	5569	1083	21026	0.194469384090501	0.310671256454389	query_1	['GO:0007154', 'GO:0050794']
GO:BP	GO:0006754	ATP biosynthetic process	4.8184960549647136e-08	True	"""The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators, ISBN:0198506732]"	102	5569	59	21026	0.010594361644819536	0.5784313725490197	query_1	['GO:0009152', 'GO:0009206', 'GO:0046034']
GO:BP	GO:0060429	epithelium development	5.402582122218521e-08	True	"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]"	1238	5569	430	21026	0.07721314419105764	0.3473344103392569	query_1	['GO:0009888']
GO:BP	GO:0032787	monocarboxylic acid metabolic process	6.194924978711389e-08	True	"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]"	616	5569	237	21026	0.04255701203088526	0.3847402597402597	query_1	['GO:0019752']
GO:BP	GO:0006812	monoatomic cation transport	7.254186315466043e-08	True	"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]"	1069	5569	378	21026	0.06787574070748788	0.35360149672591207	query_1	['GO:0006811']
